bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
2028210052,2007853,1561 Sheridan Avenue,10457,Multifamily Housing,,1928,106200,1,6,71.9,7637970,,3.28,Multifamily Housing,,0,633171.7,92,6231768.7,,,68,,,,
1014600047,1045408,400 EAST 66TH STREET,10065,Multifamily Housing,,2000,138500,1,23,77.7,10759664,,3.19,Multifamily Housing,,0,7357159.5,193.9,2097200,,,166.2,,,,
2028190012,2007809,1530 Sheridan Ave,10457,Multifamily Housing,,1927,96000,1,6,140.3,13471680.3,122.52,7.08,,,,,,,,,,,,,
4012830001,4029767,72-10 37th Ave,11372,Multifamily Housing,,1953,80622,1,6,154,12418062.7,,6.23,,,,,,,,,,,,,
5000030015,5089355,388 Richmond Terrace,10301,Multifamily Housing,,1988,87492,1,9,83.7,7327097.4,,3.68,Multifamily Housing,,0,617726,149,5522966.5,,,122,,,,
1001757501,1001940,377 Broadway,10128,Office,58,1920,80149,1,11,293.4,23514913.4,207.07,8.71,Office,,0,6121224.2,,3321521.4,,4.02758,,,,,
3019160013,3332264,245 Clinton Ave,11205,College/University,,1920,55425,1,3,95.8,5311431,,2.53,,,,,,,,,,,,,
1018807501,1075380,200 W 109th St,10025,Multifamily Housing,,2000,44266,1,6,193.9,8582023.8,,7.88,,,,,,,,,,,,,
1012830069,1035427,589 Fifth Avenue,10017,Office,63,1950,188016,1,17,208.1,39134811.2,,9.29,Office,"{'Financial Office': 21012.0, 'Other': 2092.0, 'Office': 164912.0}",0,7845513.4,,7498.8,10048396,2.55894,,,,,
3027850001,3251771,330 Union St,11211,Multifamily Housing,,1991,73480,1,6,102.4,7524945.5,,3.93,,,,,,,,,,,,,
4025730001,4058921,50-35 56th Road,11378,Distribution Center,23,1955,130000,1,1,150.7,19594080,,6.34,Distribution Center,,0,2642960.5,,14378988.5,,,,,,,
3001220010,3329431,30 Prince Street,11201,Distribution Center,67,2006,97929,1,13,53.8,5269752.8,1.07,1.77,Distribution Center,,0,1212819.3,,1796500.1,,,,,,,
3010620011,3024549,25 Plaza Street,11217,Multifamily Housing,,1941,80190,1,6,102,8178369.4,,4.2,Multifamily Housing,,0,976273,102,5312272.9,,,68,,,,
2044250001,2051242,2410 Barker Avenue,10467,Multifamily Housing,,1963,201960,1,20,137.5,27764077.5,,7.1,Multifamily Housing,,0,3921782.8,266,,,,177,,16617455.4,,
4000490001,4441069,10-10 44th Ave,11101,Other,,1915,75500,0,0,104.3,7871887.8,,4.36,,,,,,,,,,,,,
3072600009,3196297,2815 Ocean Pkwy,11235,Multifamily Housing,,1963,59700,1,6,100.6,6007965.3,,4.91,,,,,,,,,,,,,
1007060020,1012472,509-525 West 34th Street,10001,Other,,1925,75000,1,4,146.2,10967011.9,,5.01,,,,,,,,,,,,,
2032990014,2016980,306 East Mosholu Parkway,10458,Multifamily Housing,,1939,65070,1,6,127.9,8319898.4,26.06,8.18,,,,,,,,,,,,,
1010090037,1023457,102 West 57th Street,10019,Other - Lodging/Residential,,2009,130686,1,28,283.3,37026324,47.07,8.4,,,,,,,,,,,,,
4037910083,4092069,70-10 74TH Street,11379,Other,,1957,46900,1,2,210.6,9878485.7,,7.73,,,,,,,,,,,,,
3060900005,3154831,9031 Ft Hamilton Parkway,11209,Multifamily Housing,,1927,61992,1,6,113.5,7035075.2,68.84,6.64,Multifamily Housing,,0,647214.6,141,64229.4,,,70,,,4621123.4,
4050250008,4113840,144-10 Roosevlet Avenue,11354,Multifamily Housing,,1973,72156,1,6,117,8443923.3,,4.89,,,,,,,,,,,,,
2025900051,2004009,865 East 138th Street,104541907,Non-Refrigerated Warehouse,,1949,61844,1,1,80.5,4980438.3,,2.96,Non-Refrigerated Warehouse,"{'Other': 24119.0, 'Non-Refrigerated Warehouse': 37725.0}",0,990217,,3158639.8,,,,,,,
1005640034,1009208,826 Broadway,10003,Office,77,1900,118980,1,11,161.6,19224525.1,,5.27,,,,,,,,,,,,,
1013030022,1036226,517 Lexington Ave.,10017,Hotel,57,2010,109000,,,184.4,20103275.3,122.41,5.71,Hotel,,0,4718204.4,,7050087.6,,,,,,,
1008320032,1015781,11 West 30 St (Empire Lofts),10001,Multifamily Housing,,1927,66830,1,15,127.8,8541436.3,19.59,6.61,,,,,,,,,,,,,
1012090006,1031707,65 West 95 Street,10025,Multifamily Housing,,1928,83300,1,10,116.2,9679331.1,,6.16,,,,,,,,,,,,,
2027620097,,1314 Seneca Ave.,10474,Multifamily Housing,,1910,55000,,,153.7,8452543.7,,6.44,,,,,,,,,,,,,
1011240046,1028620,20 West 72nd Street,10023,Multifamily Housing,,1925,135958,1,16,138.7,18860803.3,,6.81,Multifamily Housing,"{'Multifamily Housing': 131058.0, 'Restaurant': 4900.0}",0,2349908.8,167,210819.6,,,142,,,,8370000
3012960064,3034170,345 Montgomery St.,11225,Multifamily Housing,,1928,123288,1,6,104.3,12861333.5,31.64,4.32,,,,,,,,,,,,,
2033070072,2017232,3010 Grand Concourse,10458,Multifamily Housing,,1960,106146,1,6,112,11888974.8,88.1,5.76,,,,,,,,,,,,,
2033560164,2018648,3505 Decatur Avenue,10467,Multifamily Housing,,1928,85750,1,6,127.4,10928577.9,,7.2,,,,,,,,,,,,,
1013207506,1037599,212 East 47th St.,10017,Multifamily Housing,,1979,252063,1,34,246.2,62045662.7,47.92,14.28,,,,,,,,,,,,,
1014240006,1043905,205 East 69th Street,10021,Multifamily Housing,,1929,89788,1,11,105.1,9440956.9,22.49,5.33,,,,,,,,,,,,,
1018870022,1057060,755 West End Avenue,10025,Multifamily Housing,,1910,60000,1,5,73,4379437.1,,1.96,Multifamily Housing,,0,1232214.3,84,152800,,,44,,,,
1001887505,1002125,48-60 BEACH ST,10130,Multifamily Housing,,1905,66812,1,7,137.8,9206365.8,,4.43,Multifamily Housing,,0,2176879.5,93.54,1912990.3,,,26,,,,
1000240029,1000819,30 Broad Street,10004,Office,81,1932,419795,1,48,166.8,70040338.8,,4.73,Office,,0,21426616.4,,,3662400.1,2.7027,,,,,
3131930100,4440705,227-15 North Conduit Avenue,11413,Other,,1968,108000,,,345.3,37295657.9,23.68,11.87,,,,,,,,,,,,,
4018420031,"4045400;4045402",87-30 JUSTICE AVE,11373,Multifamily Housing,,1969,178486,1,6,66.9,11940943.6,13119.81,3.72,Multifamily Housing,,0,257945.4,249.88,10413343.8,,,108,,,,
4015040062,4037148,40-45 Hampton Street,11373,Multifamily Housing,,1939,59850,1,6,135.6,8115153.8,,5.75,Multifamily Housing,,0,831675.4,70,4968688.2,,,60,,,,
1007900001,1014515,61 7th Avenue,10011,Multifamily Housing,,1963,383000,1,21,125.8,48182200.4,,5.94,Multifamily Housing,,0,8019565.2,493.78,,19703948.3,,385.02,,,,
1015500007,1050047,309 East 87th Street,10128,Multifamily Housing,,1959,116390,1,6,100.1,11652764,28.17,4.87,Multifamily Housing,,0,2021350.8,176.57,,,,127.66,,5927891.9,,
1012720047,"1081138;1081137",10 West 57th Street,10019,Office,88,1916,82797,2,11,132.3,10955178.1,,5.38,,,,,,,,,,,,,
1021700131,1808669,17 Fort George Hill,10040,Multifamily Housing,,1961,226710,1,21,121.4,27516138,,6.82,Multifamily Housing,,0,3247651.4,317.39,,,,272.05,,16181327,,0
4019360020,4047630,53-11 99th Street,11368,Multifamily Housing,,1985,98295,1,8,115.7,11369540.8,,4.53,,,,,,,,,,,,,
2048350070,2063299,658 East 233rd Street,10466,Multifamily Housing,,1929,67289,1,7,165.9,11166295.1,,10.12,,,,,,,,,,,,,
1018320010,1055256,47 West 96th Street,10025,Multifamily Housing,,1926,97600,1,15,86,8393538.6,26.67,3.48,Multifamily Housing,,0,1123313.2,104.31,4761630.5,,,78.22,,,,
1007987506,1087723,133 West 22nd Street,10011,Multifamily Housing,,2008,129326,1,13,78.7,10174073.3,,2.7,Multifamily Housing,,0,2085542.3,135,3185174.9,,,99,,,,
2029380049,2090454,1441 Boston Road,10460,Multifamily Housing,,1990,72747,1,7,131.9,9595961.5,77.47,4.87,Multifamily Housing,,0,1710080.8,110,4434373.2,,,92,,,,
