bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
1020530090,1061152,770 St Nicholas Ave,10031,Multifamily Housing,0,1920,62074,1,7,132.5,,,5.02,,,,,,,,,,,,,
3063810017,3167091,8645-8665 Bay Parkway,11214,Multifamily Housing,0,1950,137170,1,6,83.6,,,3.3,,,,,,,,,,,,,
2025040006,2090416,936 Woodycrest Ave,10452,Senior Care Facility,84,1902,63000,1,4,218.8,,,7.85,,,,,,,,,,,,,
1014990061,1046923,12 East 88th Street,10128,Multifamily Housing,0,1931,90216,1,13,115.6,,,5.03,,,,,,,,,,,,,
4011320044,4025208,3131 54th Street,11377,Multifamily Housing,0,1941,67022,1,6,94.7,,,3.61,,,,,,,,,,,,,
3067600035,3181770,1570 East 14th Street,11230,Multifamily Housing,0,1961,66125,1,6,127.4,,,5.03,,,,,,,,,,,,,
1006460032,1012232,414 West 14th Street   (418 West 14th St),10014,Office,85,2008,51744,1,6,134.8,,,5.96,,,,,,,,,,,,,
1001407505,1001505,157 Chambers St,10007,Multifamily Housing,0,1931,92408,1,16,165,,,4.93,,,,,,,,,,,,,
3072380042,3196062,2610 Ocean Parkway,11235,Multifamily Housing,0,1964,51815,1,6,110.4,,,4.35,Multifamily Home,,0,910068.23,83,3393442.84,,,57,,,,
4033210113,4458689,117-01 84th Avenue,11418,Senior Care Facility,100,1999,304709,7,9,78.7,,,2.65,,,,,,,,,,,,,
4161860036,4303901,140 Beach 114th Street,11694,Senior Care Facility,22,1969,70000,2,6,295.6,,,9.8,,,,,,,,,,,,,
4036050001,4443103,66-26 Metropolitan Avenue,11379,Retail,67,1999,139755,2,3,174.5,,,4.9,Retail,,0,9053276.74,,,,,,,,,
3011220028,,900 Atlantic Ave,11238,Self-Storage,0,2010,88000,1,7,56.3,,,1.67,Other,,0,891214.4,,516700,,,,,,,
3023487501,"3062358;3819944",184 Kent Ave,11249,Multifamily Housing,0,2007,351184,1,6,170.8,,,5.82,,,,,,,,,,,,,
1008060052,1-00806-0052,116 W 31st Street,10001,Hotel,44,2004,49287,1,18,230.4,,,7.59,Hotel,,0,2603708.21,,2956203.23,,,,,,,
3018850026,3329794,414 Flushing Ave,11205,Other,0,1940,85000,4,5,154.4,,,5.03,,,0,,,,,,,,,,
4051430024,4115670,136-30 Sanford Avenue,11355,Office,0,1900,70818,,,151.1,,,8.71,,,,,,,,,,,,,
3065970045,3174177,135 Avenue P,11204,Multifamily Housing,0,1931,69000,1,6,114.6,,,4.51,Multifamily Home,,0,800960.18,,4806800,,,,,,,
2024290001,2002141,1100 TELLER AVENUE,10451,Multifamily Housing,0,1971,74500,1,6,231.6,,,8.95,Multifamily Home,,0,2456118.16,127,9556111.76,,,90,,,,
1008110031,1080606,1350 Broadway,10018,Office,88,1925,437897,2,24,171.6,,,6.3,,,,,,,,,,,,,
1019540024,1807292,311 West 127th Street,10027,Multifamily Housing,0,2011,211107,,,100.1,,,3.53,,,,,,,,,,,,,
3036060010,3082392,290 Riverdale Avenue,11212,Multifamily Housing,0,1978,96980,1,6,167.7,,,7.89,,,,,,,,,,,,,
2033240030,2017680,21 West Mosholu Pkwy North,10467,Multifamily Housing,0,1923,64680,1,5,85.5,,,4.6,,,,,,,,,,,,,
2031430130,2013317,2160 tiebout ave,10457,Multifamily Housing,0,1927,53000,1,6,153,,,10.38,,,,,,,,,,,,,
1016070000,1051490,1212 5th Avenue,10029,Multifamily Housing,0,1925,113035,,,89.4,,,2.6,Multifamily Home,"{'Multifamily Home': 5148.0, 'Retail': 117.0}",0,,,,,,,,,,
4024530040,4056461,79-00 Queens Boulevard,11373,Hotel,0,1963,93000,1,7,194.9,,,8.7,,,,,,,,,,,,,
1012060010,1031632,51 West 92nd Street,10025,Multifamily Housing,0,1951,55535,1,6,127.5,,,6.79,,,,,,,,,,,,,
2033260105,2017751,45 East Mosholu Parkway North,10467,Multifamily Housing,0,1926,64800,1,6,161.2,,,6.51,,,,,,,,,,,,,
4045910075,4104162,10-21 162 Street,11357,Multifamily Housing,0,1958,36096,1,8,107.9,,,4.96,Multifamily Home,,0,839896.1,64,,,,32,,,2524999.24,
4114317502,"4446930;4446931",151-15 84th Street,11414,Multifamily Housing,0,1930,231802,2,6,99.4,,,3.87,,,,,,,,,,,,,
3067480026,3181126,1818 Ocean Avenue,11230,Multifamily Housing,0,1949,101600,1,6,86,,,3.47,Multifamily Home,,0,2295472.77,162,6250600,,,120,,,,
2056417501,2090983,190 Schofield St,10464,Multifamily Housing,0,1990,56008,2,3,68.3,,,2.42,,,,,,,,,,,,,
4005670007,4006568,23-35 Broadway,11106,Multifamily Housing,0,1963,80652,1,7,180.2,,,6.28,,,,,,,,,,,,,
3021340037,3387990,450 Kent St,11222,Multifamily Housing,0,2005,130500,,,197,,194.96,7.09,Multifamily Home,,0,4190407.47,361,3288160,,,140,,,,
1007167505,1088185,456 West 19th Street,10011,Multifamily Housing,0,1900,56488,1,11,189.7,,,6.78,,,,,,,,,,,,,
4020900047,4050457,97- 25 64 Avenue,11374,Multifamily Housing,0,1950,98275,1,6,157.1,,,9.8,,,,,,,,,,,,,
1012040016,1031605,35 West 90 Street,10024,Multifamily Housing,0,1931,131341,2,13,88.2,,,4.58,Multifamily Home,,0,1649009.36,139,210300,,,100,,6340347.16,,
2044290001,2051300,2550 Olinville Avenue,10467,Multifamily Housing,0,1966,228000,1,18,148.9,,,7.85,Multifamily Home,,0,5426366.81,388,989534.29,,,213,,,,
2045080010,2053536,2750 Olinville Avenue,10467,Multifamily Housing,0,1955,77194,1,6,134.5,,,6.88,,,,,,,,,,,,,
2023667501,2116647,505 East 161 Street,10451,Multifamily Housing,0,2010,107000,1,8,111.8,,,4.17,,,,,,,,,,,,,
1009100061,1019945,425 3RD AVE,10016,Multifamily Housing,0,1967,66403,1,9,147.1,,,7.0,,,,,,,,,,,,,
1018520005,1088746,784 COLUMBUS AVE,10025,Multifamily Housing,0,1963,257760,0,0,154.9,,,8.09,,,,,,,,,,,,,
1010180018,1076192,228 West 47th Street,10036,Hotel,72,1931,480000,1,22,165.4,,,8.65,,,,,,,,,,,,,
2019610027,3055994,395 Clinton Avenue,11238,Multifamily Housing,0,1930,51834,,,120.6,,,6.42,,,,,,,,,,,,,
2028050031,2007622,1892 Morris Avenue,10453,Multifamily Housing,0,1915,127740,1,5,77.1,,,,,,,,,,,,,,,,
2048150037,3107316,636 Brookyn Ave,11203,Multifamily Housing,0,1959,172960,,,140.7,,,7.94,,,,,,,,,,,,,
4051450068,4116413,137-77 45th Ave,11355,Multifamily Housing,0,1973,73765,1,6,228,,,5.65,Multifamily Home,,0,4586755.01,135,,,,90,,,,
3023407503,3397447,2 Northside Piers,11249,Multifamily Housing,0,2009,173672,1,30,94.6,,,3.52,,,,,,,,,,,,,
1010767501,1088435,505 West 47th Street,10036,Multifamily Housing,0,2009,86386,1,7,124.1,,,3.9,Multifamily Home,,0,2244164.74,160,2371890.62,,,108,,,,
4018370012,4045227, 87-10 51st Avenue,11373,Multifamily Housing,0,1962,141954,1,6,56,,,1.63,,,,,,,,,,,,,
1013500020,1040003,345 East 57th Street,10022,Multifamily Housing,0,1928,94933,1,16,91.9,,,4.94,,,,,,,,,,,,,
2031740005,2013919,29-39 East Fordham Rd.,10468,Retail,0,1919,74282,1,2,108.2,,,4.77,,,,,,,,,,,,,
1022130001,1064513,4055 10th Avenue,10034,Office,31,2007,64315,1,1,284.3,,,8.87,,,,,,,,,,,,,
3011790097,"3324440;3324439",159 Eastern Parkway,11238,Multifamily Housing,0,1927,57850,2,7,104.6,,,4.13,,,,,,,,,,,,,
1009117501,1019972,248 East 31st Street,10016,Multifamily Housing,0,1925,56469,1,9,92.9,,,3.03,,,,,,,,,,,,,
4031590070,4074785,98-120 Queens Blvd,11374,Multifamily Housing,0,1939,87941,1,6,106.4,,,6.5,,,0,,,,,,,,,,
1012090033,"1031728;1086834",356-360 Central Park West,10025,Multifamily Housing,0,1929,198181,,,91.1,,,5.26,,,,,,,,,,,,,
4096670025,4206537,82-41/45 135th Street,11435,Multifamily Housing,0,1952,68306,1,6,110.8,,,4.34,Multifamily Home,"{'Multifamily Home': 73883.0, 'Parking': 6650.0}",0,832449.42,94,4242483.18,,,84,,,119662.16,
4002497501,4003444,3202 Queesn BLVD,11101,Other,0,1931,252380,1,8,230.1,,,7.64,,,,,,,,,,,,,
4137910022,4853219,230-59 Rockaway Blvd.,11413,Office,60,2002,178870,2,2,172.5,,,5.03,,,,,,,,,,,,,
3018710018,3054043,400 Herkimer,11213,Multifamily Housing,0,1965,130950,1,6,83.5,,,5.67,,,,,,,,,,,,,
2022260019,2017377,190 E. 206th Street,10458,Multifamily Housing,0,1966,76890,,,101.5,,,5.62,,,,,,,,,,,,,
3013270077,,101 Lincoln Road,11226,Multifamily Housing,0,1938,96762,1,6,122.2,,,4.74,,,0,,,,,,,,,,
1013367502,1038673,820 Second Avenue,10017,Office,68,1921,142189,1,19,218,,,7.0,,,,,,,,,,,,,
1010190055,1024764,234 West 48th street,10036,Hotel,19,1927,122957,1,16,318.9,,,13.36,Hotel,,0,9033611.2,,,,,,,12294774.13,,
2025230061,2097167,950 University Ave,10452,Warehouse (Unrefrigerated),6,1929,148229,5,8,196.2,,,6.55,,,,,,,,,,,,,
1013110050,1036888,136 E 57th st,10022,Office,74,1929,81565,1,20,213,,,7.64,Office,"{'Retail': 13100.0, 'Office': 68465.0}",0,4291455.11,,987.1,4469224.81,1.69,,,,,
4051450086,4540422,137-39 45th Avenue,11355,Multifamily Housing,0,2011,110000,1,15,131.4,,,4.76,,,,,,,,,,,,,
1008260037,1015602,1101 Broadway,10010,Office,93,1915,320877,,,135.3,,,3.8,,,,,,,,,,,,,
4051450081,4542361,137-47 45th Avenue,11355,Multifamily Housing,0,1971,235828,1,19,123.9,,,4.54,,,,,,,,,,,,,
3012830001,3337867,1198 President Street,11225,Multifamily Housing,0,1973,208774,1,15,254.9,,,9.57,Multifamily Home,"{'Multifamily Home': 208774.0, 'Parking': 13326.0}",0,6974920.46,400,24783248.39,,,238,,,,
1013690026,1040544,16 Sutton Place,10022,Multifamily Housing,0,1967,130000,1,20,103,,,4.34,Multifamily Home,,0,2359563.1,128,,5437237.2,,54,,,,
1018320025,1055262,7 West 96th Street,10025,Multifamily Housing,0,1931,105332,1,18,105.4,,,5.85,,,,,,,,,,,,,
1004987502,1007579,543 Broadway,10012,Multifamily Housing,0,1989,60000,1,10,107.6,,,3.96,,,,,,,,,,,,,
1020460001,1060853,305 West 150 Street,10039,Multifamily Housing,0,1983,65300,,,88.7,,,3.35,Multifamily Home,,0,785862.08,84,6589500,,,83,,,,
2023530262,2015581,2857 Sedgwick Ave,10468,Multifamily Housing,0,1927,118384,,,75.8,,,4.4,,,,,,,,,,,,,
4014740058,4036261,37-27 86th Street,11372,Multifamily Housing,0,1951,126931,1,6,102,,,3.93,Multifamily Home,,0,1549037.76,156,8857400,,,120,,,,
1018220029,,45-53 Lenox Avenue,10026,Multifamily Housing,0,1984,72118,2,6,153,,,5.73,Multifamily Home,,0,1297706.43,112,6132300,,,59,,,,
3066087501,3253563,1620 E 2 Street,11230,Multifamily Housing,0,1941,58643,1,6,103.5,,,4.64,,,,,,,,,,,,,
4021130034,"4050818;4449615;4449616",9965 64TH AVENUE,11374,Multifamily Housing,0,1952,134943,3,6,75,,,4.82,,,,,,,,,,,,,
3051330014,3117881,2307 BEVERLEY RD,11226,Retail,77,1932,187823,1,3,136.3,,,4.37,Retail,,0,6725735.29,,4680917,,,,,,,
4158150220,4436087,20-41 thru 20-45 Seagirt Blvd,11691,Multifamily Housing,0,1952,107528,3,6,74.5,,,3.54,Multifamily Home,,0,325561.88,148,7100682.88,,,134,,,,
1014630031,1045577,436 E 69 St,10065,Multifamily Housing,0,1961,107135,,,133.4,,,6.29,Multifamily Home,,0,1653309.8,0,247874.19,,,0,,,,
2042840020,2048776,2055 cruger,10462,Multifamily Housing,0,2000,84006,1,6,141.6,,,7.78,,,0,,,,,,,,,,
1000167521,BIN# 1085929,22 RIVER TERRACE,10282,Multifamily Housing,0,2001,331500,1,27,134.6,,,4.87,,,,,,,,,,,,,
1002200031,,174 Hudson Street,10013,Office,82,1910,51750,1,6,158.9,,,4.23,Office,,0,3799330.24,,,,2.8,,,,,
,3229153,10237 Farragut Road,11236,Warehouse (Unrefrigerated),75,1970,168000,,,71.4,,,2.49,,,,,,,,,,,,,
1021360170,1063336,910 Riverside Drive,10032,Multifamily Housing,0,1949,74730,1,6,95.9,,,6.48,,,,,,,,,,,,,
1014147502,"1087103;1043337",205 E 59th St,10022,Multifamily Housing,0,2003,126160,1,25,213.2,,,6.82,Multifamily Home,,0,6603115,106,4674874.19,,,62,,,,
5007140065,"5154742;5018077",25 Fanning Street,103145307,Senior Care Facility,88,1968,216000,2,6,153.4,,,4.31,Senior Care Facility Gross Floor Area,,0,8422267.75,,,,,,,,,
3023637502,3335746,58 Metropolitan Ave,11211,Multifamily Housing,0,2009,63107,6,7,126.6,,,4.17,,,,,,,,,,,,,
4039070975,"4435192;4435191;4435193",83-85 Woodhaven Boulevard,11421,Multifamily Housing,0,1956,237530,3,6,149.5,,,5.66,Multifamily Home,"{'Multifamily Home': 236701.0, 'Office': 829.0, 'Parking': 33156.0}",0,5156610.63,549,18136267.74,,2.3,288,,,0,
,"1084021;1084022;1084023;1084024;1084025",12 West 109th Street / 20 West 109th Street,10025,Multifamily Housing,0,1982,114200,,,151.8,,,5.81,,,,,,,,,,,,,
4066900001,"4144767;4523901",78-43 147th Street,11367,Multifamily Housing,0,1940,62050,2,3,149.7,,,5.95,Multifamily Home,"{'Multifamily Home': 60028.0, 'Parking': 7360.0}",0,933126.09,78,5165222.58,,,60,,,,
,"2099787;2005769;2099788",999 East 163rd Street / 941 Simpson Street,10459,Multifamily Housing,0,1977,116390,,,93.7,,,4.91,,,,,,,,,,,,,
1014660003,"1088406;1802555",1330 1st Ave,10021,Multifamily Housing,0,2007,389741,1,20,145.2,,,4.77,Multifamily Home,"{'Multifamily Home': 100380.0, 'Bank/Financial Institution': 12516.0}",0,12393854.46,,14204090.32,,,,,,,
,4864704,11-02 49th Avenue,11101,Multifamily Housing,0,2009,157747,,,105.9,,,3.6,,,,,,,,,,,,,
2025130033,2002953,101 East 165 Street,10452,Multifamily Housing,0,1925,60900,1,6,109.7,,,3.26,,,,,,,,,,,,,
,4458588,23-45 BELL BLVD,10001,Multifamily Housing,0,1961,75990,,,114.6,,,6.61,,,,,,,,,,,,,
,4444019,190-15 73 Ave,11365,Multifamily Housing,0,1949,13800,,,156.2,,,4.82,,,,,,,,,,,,,
,"1084144;1084145;1084146;1084147;1084148;1084151",MNM: 2816 8th Ave,10039,Multifamily Housing,0,1928,148670,,,101.1,,,6.25,,,,,,,,,,,,,
3011890007,3-01189-0007,881 WASHINGTON AVENUE,11225,Multifamily Housing,0,1925,80700,1,6,85.7,,,3.64,,,,,,,,,,,,,
2043550001,"Block - 04355  Lot 0001

Main Campus",999 Pelham Parkway North,10469,K-12 School,3,1923,242473,19,3,176.8,,,6.99,,,,,,,,,,,,,
2043600001,"Block 04360 lot 0001

Readiness 974 Waring Ave",985 Astor Ave,10469,K-12 School,60,1970,55840,3,1.5,132.5,,,4.77,,,,,,,,,,,,,
4086950001,"4438391;4444849;4459240;4861791",79-33 258th Street,11004,Other,0,1958,93000,3,4,64.2,,,2.37,Other,,0,863266.71,,3610040.7,,,,,,,
2032530012,2015502,2678 Kingsbridge Terrace,10463,Senior Care Facility,32,1971,85835,1,8,319.9,,198.96,10.41,,,,,,,,,,,,,
5022500250,5-02250-0250,110 Meisner Ave,10306,Senior Care Facility,85,2005,53856,1,5,168.2,,,5.73,,,,,,,,,,,,,
5022500370,5-02250-0370,140 Meisner Ave,10306,Senior Care Facility,60,1993,211000,2,8,284,,118.21,9.87,,,,,,,,,,,,,
1005210001,,298 MULBERRY STREET,10012,Multifamily Housing,0,1989,86746,1,12,51.3,,,2.18,,,,,,,,,,,,,
1000560001,,130 Cedar Street,10006,Hotel,35,2009,183235,1,21,252,,,10.04,,,,,,,,,,,,,
3022390008,,147 Wallabout Street,11206,Multifamily Housing,0,2000,102000,1,6,65.9,,,2.42,,,,,,,,,,,,,
3064910011,,8973 Bay Parkway Suite 1,11214,Retail,62,2004,133882,8,2,186.2,,,5.65,,,,,,,,,,,,,
5012500090,,2239 Forrest Avenue,10303,Retail,75,2004,91047,1,1,140.5,,,4.12,,,,,,,,,,,,,
2059520374,"Riverdale YM YWHA

2086312",5625 Arlington ave.,10471,Other,0,1985,40500,1,3,338,,,11.13,Other,,0,,,,,,,,,,
3002550036,3335934,180 Remsen Street,11201,K-12 School,1,1914,240000,1,8,348.8,,,11.51,,,,,,,,,,,,,
4114510050,4434891,9002-9046 153rd. ave 9001-9055 Shore Parkway,11414,Multifamily Housing,0,1945,83286,9,2,194,,,7.69,,,,,,,,,,,,,
1008867503,1076154,127 EAST 30TH STREET,10016,Multifamily Housing,0,1989,75000,1,19,78.4,,,4.67,,,,,,,,,,,,,
1012790057,1035337,350 Madison Ave,10017,Office,51,1922,294245,1,25,244.7,,,7.95,Office,"{'Bank/Financial Institution': 61244.0, 'Other': 12067.0, 'Office': 220934.0}",0,20674703.51,,,14705566.68,1.81,,,,,
1012880069,1035721,665 5th Avenue,10022,Office,52,1973,123371,1,12,230.2,,,6.47,,,,,,,,,,,,,
3031560001,,95 Evergreen Avenue,11206,Other,0,1950,135350,1,5,61.3,,,2.43,,,,,,,,,,,,,
4156330001,4299340,1711 Brookhaven Avenue,11691,Senior Care Facility,71,1975,68000,2,5,176.4,,266.71,9.91,,,,,,,,,,,,,
4010160551,4022511,24-01 Brooklyn-queens Expwy,11377,Warehouse (Unrefrigerated),8,1997,81966,1,1.5,74.5,,,2.09,Warehouse (Unrefrigerated),,0,2074963.44,,,,,,,,,
3018940026,3334729,72 Emerson Place,11205,Warehouse (Unrefrigerated),24,1996,48650,1,5,82.1,,,2.65,Warehouse (Unrefrigerated),,0,978350.06,,898300,,,,,,,
3012570027,3032437,1062 St Johns Place,11213,Warehouse (Unrefrigerated),14,2000,49396,1,6,59.6,,,1.9,Warehouse (Unrefrigerated),,0,768573.47,,367700,,,,,,,
3088330200,3820256,2461 Knapp St,11235,Warehouse (Unrefrigerated),33,2006,60117,1,3,71.5,,,2.35,Warehouse (Unrefrigerated),,0,951077.94,,936600,,,,,,,
4002880056,4003551,49-20 Van Dam Street,11101,Warehouse (Unrefrigerated),60,2006,51463,1,4,53.1,,,1.63,Warehouse (Unrefrigerated),,0,672324.36,,435800,,,,,,,
4002390111,4003403,32-04 Northern Blvd,11101,Warehouse (Unrefrigerated),56,2006,72119,1,6,55.1,,,1.63,,,,,,,,,,,,,
1007760033,1088614,210 west 27th STREET,10001,Residence Hall/Dormitory,56,1960,130096,1,17,157.1,,,6.32,,,,,,,,,,,,,
3077330043,3846568,1534 Utica Ave,11234,Warehouse (Unrefrigerated),68,2006,71172,1,1,50.6,,,1.78,Warehouse (Unrefrigerated),,0,665879.1,,790500,,,,,,,
1012600014,,45 West 44th Street,10036,Hotel,16,2000,293966,1,30,291.8,,,11.0,,,,,,,,,,,,,
1010230018,,226 West 52nd Street,10019,Hotel,42,2000,262051,1,26,256,,,9.39,,,,,,,,,,,,,
3064980030,3170241,1100 Coney Island Ave,11230,Office,100,1996,43000,1,4,68.4,,,2.17,Office,"{'Office': 43000.0, 'Parking': 16000.0}",0,780576.89,,793300,,2.3,,,,,
4021620122,,61-20 Grand Central Parkway,11375,Multifamily Housing,0,1965,428836,3,14,183.7,,,7.08,,,0,,,,,,,,,,
4033550144,4080140,83-33 Austin Street,11415,Multifamily Housing,0,1960,133140,1,6,82.9,,,3.45,Multifamily Home,,0,549578.1,,9750581.6,,,106,,,,
1007760047,1083088,220 West 27 Street,10001,Residence Hall/Dormitory,22,1970,66230,1,10,224.2,,,10.78,,,,,,,,,,,,,
1007760055,1014237,230 West 27 Street,10001,Residence Hall/Dormitory,59,1974,97000,1,15,168.6,,,7.37,,,,,,,,,,,,,
1007280042,1012834,406 West 31 Street,10001,Residence Hall/Dormitory,42,1970,350000,1,16,208.2,,,7.39,,,,,,,,,,,,,
1000500001,1001030,115 Broadway,10006,Office,94,1907,419806,1,21,123.4,,,3.47,,,,,,,,,,,,,
3019160013,3332264,245 Clinton Ave,11205,College/University (Campus-Level),0,1920,55425,1,3,120.3,,,3.45,Other,,0,1795100.97,,329300,,,,,,,
4010710001,4023432,9400 DITMARS BLVD,11369,Hotel,93,1969,70086,2,3,131.6,,,4.14,,,,,,,,,,,,,
1014260035,,221 E. 71st St.,10021,K-12 School,2,1936,186000,2,8,247.6,,,9.01,K-12 School,,0,11303713.86,,241700,16281717.93,,,,,,
4101020004,BIN 4215623,162-10 Jamaica Ave,11432,Office,94,1930,459965,1,7,96,,,2.7,,,,,,,,,,,,,
4072270005,4155422,176-60 Union Turnpike,11366,Mall (Strip Mall and Enclosed),0,1950,173462,2,2,105.4,,,3.04,,,,,,,,,,,,,
4133640040,4286102,147-35 Farmers Blvd,11434,Warehouse (Unrefrigerated),96,1971,45407,1,2,59.5,,,1.88,,,,,,,,,,,,,
4000990010,,4722 Pearson Place,11101,Other,0,1989,69600,1,1,93.4,,,3.17,Other,"{'Other': 63000.0, 'Office': 6600.0}",0,1479234.08,,2355048.39,,4.55,,,,,
3050970060,3117070,105 Buckingham Road,11226,Multifamily Housing,0,1937,77863,1,6,92.3,,,3.69,Multifamily Home,,0,641285.83,76,5010357.93,,,61,,,1410.27,
1000490002,1001029,111 Broadway,10006,Office,88,1905,475387,1,22,148.1,,,4.1,,,,,,,,,,,,,
2032810040,2660525,357 E 201st Street,10458,Multifamily Housing,0,1947,50000,1,6,111.6,,,8.32,,,,,,,,,,,,,
2032920062,2644684,311 Bedford Park Boulevard,10458,Multifamily Housing,0,1940,50000,1,6,102.9,,,7.09,,,,,,,,,,,,,
3045600001,3099066,554 Cozine Ave,11208,Warehouse (Unrefrigerated),51,1962,68000,1,1,106.4,,,3.85,,,,,,,,,,,,,
4025730001,4058921,50-35 56th Road,11378,Warehouse (Unrefrigerated),55,1955,130000,1,1,100.3,,,3.5,,,,,,,,,,,,,
4040780026,4098227,116-02 15th Ave,11356,Warehouse (Unrefrigerated),34,1919,199400,1,2,168.3,,,5.84,,,,,,,,,,,,,
2056100025,2831413,650 Brush Ave,10465,Warehouse (Unrefrigerated),21,2009,230000,1,3,189.8,,,6.08,,,,,,,,,,,,,
3017640001,3049016,585 Dekalb Avenue,11205,Retail,40,1999,162999,1,2,263.1,,,8.04,Parking,"{'Data Center': 300.0, 'Retail': 99999.0, 'Office': 62700.0, 'Parking': 105000.0}",1,11627761.4,,4182866.67,,1.02,,,,,
2032520260,,3951 Gouverneur Ave,10463,Multifamily Housing,0,1926,72420,1,6,75.7,,,5.15,,,,,,,,,,,,,
1019770001,,3080 Broadway,10027,Education,0,1929,262638,1,10.5,150.6,,,6.26,,,,,,,,,,,,,
3087130077,"3326900;3326901",60 West End Avenue,11235,Other,0,1951,107000,2,7,104.7,,,3.75,House of Worship,,0,2632515.47,,5338681.82,,,,,,,
3033287501,3392234,"358 GROVE ST, APT CC",11237,Multifamily Housing,0,2007,61249,1,13,149.8,,,5.12,Multifamily Home,,0,1693341.48,94,3205400,,,61,,,,
4155910001,4298759,444 Beach 6th St.,11691,K-12 School,77,1973,90000,1,3,103.3,,,5.22,,,,,,,,,,,,,
2032850001,2016569,2954 MARION AVENUE,10458,Multifamily Housing,0,1924,72895,1,5,107.3,,,6.69,,,,,,,,,,,,,
4009090001,4020648,4-21 27th Avenue,11102,Multifamily Housing,0,1969,190000,1,15,230.2,,,8.42,Multifamily Home,"{'Multifamily Home': 136000.0, 'Office': 54000.0}",0,6527758.92,215,3049367.05,,6.48,200,,,11525877.47,
3013210053,3035099,355 Lefferts Ave.,11225,Multifamily Housing,0,1930,89010,1,6,101.4,,,4.13,,,,,,,,,,,,,
3013080036,3034523,300 Sullivan Place,11225,Multifamily Housing,0,1927,72623,1,6,151.8,,,6.05,,,,,,,,,,,,,
3010530079,3024216,263 Prospect Avenue,11215,Social/Meeting,0,1903,61000,1,4,113.9,,,5.04,,,,,,,,,,,,,
1008120019,1015239,135 W36 St.,10018,Office,90,1923,107209,1,22,150.5,,,4.65,,,,,,,,,,,,,
2043100046,,2130 Williams Bridge Rd,10461,Multifamily Housing,0,1963,63000,1,6,86.4,,,5.69,,,,,,,,,,,,,
4032560001,4077993,108-18 Queens Blvd.,11375,Other,0,1930,141321,1,9,347.6,,,12.32,Office,"{'Bank/Financial Institution': 17300.0, 'Other': 33038.0, 'Retail': 9572.0, 'Office': 48373.0, 'Parking': 31960.0}",0,10246126.95,,14861191.15,,5.4,,,,,
1010110052,1023759,150 Central Park South,10019,Multifamily Housing,0,1940,338000,1,36,183.4,,,7.55,Multifamily Home,"{'Multifamily Home': 317234.0, 'Bank/Financial Institution': 12766.0, 'Other': 8000.0}",0,11056112.72,406,93229.03,20335685.63,,197,,,,
1010340037,,300 W 44th Street,10036,Hotel,44,2010,425150,1,36,275.8,,,9.09,,,,,,,,,,,,,
2028130001,2007758,215 Bush St,10461,Multifamily Housing,0,1941,54630,2,6,174.7,,,8.43,,,,,,,,,,,,,
2028690167,2008621,25-29 West Tremont Ave,10453,Multifamily Housing,0,1932,51650,1,6,130.6,,,7.51,,,,,,,,,,,,,
1018420029,1055658,461 CENTRAL PARK WEST,10025,Multifamily Housing,0,1956,71216,1,6,65.9,,,4.61,Multifamily Home,,0,231845.4,,72100,,,,,,,4414238.12
1005480070,1008840,300 Mercer,10003,Multifamily Housing,0,1950,461959,1,35,114.3,,,7.58,Multifamily Home,,0,3219494.96,,3278200,,,,,,,42054340.97
1011520013,1087958,229 West 60th Street,10023,Multifamily Housing,0,1968,291240,1,27,162.2,,,6.53,Multifamily Home,,0,5431904,,26673800,,,,,,,
4134160001,4286190,182-30 150TH ROAD,11413,Storage/Shipping/Non-Refrigerated Warehouse,0,1970,57600,1,2,177,,,5.65,Other,,0,3259142.4,,2024700,,,,,,,
4150100001,4312772,145-30 156TH STREET,11434,Warehouse (Unrefrigerated),21,1986,86850,1,1,130.4,,,4.53,Warehouse (Unrefrigerated),,0,2051840.32,,4792100,,,,,,,
3036440140,3083084,101-01 AVENUE D,11236,Other,0,1999,159946,1,1,166.5,,,5.02,,,,,,,,,,,,,
1014600047,1045408,400 EAST 66TH STREET,10065,Multifamily Housing,0,2000,138500,1,23,80.9,,,3.06,Multifamily Home,,0,1337504,,5961400,,,,,,,
4014890018,4036813,40-40 79TH ST,11373,Multifamily Housing,0,1956,176480,1,6,90.1,,,6.36,Multifamily Home,,0,712630.32,,,,,,,,,14782646.41
3067810040,3182490,1811 Quentin Rd.,11229,Multifamily Housing,0,1962,77160,1,6,105,,,4.26,,,,,,,,,,,,,
1015247502,1084726,108 EAST 96TH S,10128,Multifamily Housing,0,1971,104951,1,19,122.1,,,4.82,Multifamily Home,,0,1195564.8,,7755100,,,,,,,
4050400027,4114214,132-61 SANFORD AVENUE,11355,Multifamily Housing,0,1951,111848,1,6,88.5,,,2.68,Multifamily Home,,0,2763992.96,,,,,,,,,
4015660021,4039157,41-40 DENMAN STREET,11373,Multifamily Housing,0,1955,99180,1,6,113.7,,,8.23,Multifamily Home,,0,396337.92,,,,,,,,,9507803.17
