bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
1008180051,"1015394
",114 Fifth Avenue,10011,Office,69,1903,323955,1,18,211,68344743.3,,6.61,,,,,,,,,,,,,
1000510007,1001032,68 Trinity,10006,Office,65,1927,255406,0,0,187.6,47921856,,8.07,,,,,,,,,,,,,
1006420004,BIN# 1012126,114 HORATIO STREET,10014,Multifamily Housing,0,1900,111280,1,8,145,15833484,,5.42,,,,,,,,,,,,,
1009940009,1022573,1460 Broadway,10018,Office,73,1953,182006,,,191.2,34517006.1,,6.08,Office,,0,8572843.57,,,1961209.07,1.51,,,,,
4002390001,,32-04 Northern Blvd,11101,Warehouse (Unrefrigerated),45,2006,72119,7,0,63.8,4461846,,2.1,,,,,,,,,,,,,
2048050001,,1880 Bartow Ave,10469,Self-Storage,0,2001,200000,1,2,59.6,11551303.8,,2.09,,,,,,,,,,,,,
4033220105,,118-80 Metropolitan Avenue,11415,Multifamily Housing,0,1936,68040,1,6,117,7958860.3,,4.87,Multifamily Housing,,0,966793.06,82,4110926.65,,,67,,,,
1010851001,1088726,770 11th Avenue,10019,Automobile Dealership,0,2009,330000,,,208.8,73155353.3,,6.56,,,,,,,,,,,,,
1021390170,1063413,708 West 171 Street,10032,Multifamily Housing,0,1929,51140,1,6,99.6,5091460.3,,5.87,Multifamily Housing,,0,564385.14,66,172026.47,,,52,,,,3078684.51
4036670023,,6802 Metropolitan Ave,11379,K-12 School,98,1962,227500,1,4,72.3,16441134.1,,3.3,K-12 School,,0,,,,,,,,,,
3055300001,3132689,6201 15th Ave,11219,Office,23,1948,147520,1,3,297.6,43906814.4,,14.61,,,,,,,,,,,,,
3067390019,3180726,1265 East 19th Street,11230,Multifamily Housing,0,1959,158590,1,11,145,22657487.4,,5.63,Multifamily Housing,,0,945536.25,216,8594200,,,144,,,,
2019257501,3388495,970 Kent Avenue,11205,Multifamily Housing,0,1910,101713,,,88.5,9508524.5,0.0,2.63,,,,,,,,,,,,,
